,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,109601,94.0,sa,33428,3,6,22,Writing your online profile,"
      Hi! Name: Odai. Age: 10. Birthday: 1 July. Like doing: Play fotball, Swimming. Lives in: Saudi Aribia. Favorite! Season: Spring. Animals: Cat. Time: afternoon. Day: Monday. Number: 3.
    ",Lives in : Saudi Aribia .
1,74149,77.0,sa,34065,4,8,32,Describing people in photos,"
      Hi granny,How are you? Look at my photos1-This is my friend. Her name is Kate. She's wearing whit shirt with pink trousers. She has long straight brown hair and small green eyes. She looks happy. We went to the beach last weak and take some photos, What do you think? Is she beautiful.2- This is my boyfriend. He's name is Jimmy. He has long straight blond hair and big nose. He's wearing black shirt and beautiful glasses. We was in City Garden yesterday. 3- This is my neighbor Mr. axon and his wife. He's wearing grey shirts with red, yellow scarf. He has short black hair and small black eyes. His wife wearing brown shirts with jeans. She has long straight brown hair and small eyes.I wish you like my photos.Khawlah' 
    ",Is she beautiful.2- This is my boyfriend .
2,107759,100.0,sa,35895,2,2,10,Writing a birthday invitation,"
      Hi! Im 23 on Sunday. Im having a party at my house. Lets eat cake, dance and sing. The party starts at 6 o'clock. Hope you can come! Saad
    ","Lets eat cake , dance and sing ."
3,106325,95.0,eg,39374,4,1,25,Writing about what you do,"
      My name is Islam. I'm  accountant in a big company. I like my job. It's exciting for me. I always take a break. Sometimes I like my boss but when he angry on work I hart him. Sometimes I have meetings. Sometimes it's tiring and boring when I work a log  time. I never go on business trips.
    ",Sometimes it 's tiring and boring when I work a log time .
4,28748,80.0,sa,72724,2,1,9,Describing your favorite day,"
      Hello.my name's Juharah . I'm sixty-seven.My favorite day is thursday. i get up at 10 o'clock . have brush my teeth I have ages and mlik for breakfast. at 11 o'clock Iread a book. I have lunch at tow o'clock. in the afternoon, I watch TV . IN THE EVENING , I meet friends . we eat in a restaurant then go to the movies I go to bed at one o'clock.
    ","IN THE EVENING , I meet friends ."
5,63573,97.0,eg,80867,3,6,22,Writing your online profile,"
      Name: Mostafa . Age: 27. Birthday: 4 April. Like doing: Cooking, reading, surfing the internet, playing chess. Lives in: saudi Arabia. Favorite Season: autumn. Animal: dog. Time: afternoon. Number: 4. I can swim but I can't play soccer.
    ",Lives in : saudi Arabia .
6,27136,98.0,sa,89568,2,2,10,Writing a birthday invitation,"
      Hi! Im 27 on Saturday. Im having a party at my house. Lets eat cake, dance and sing. The party starts at 7:30. Hope you can come! Ahmed
    ","Lets eat cake , dance and sing ."
7,165491,87.0,sa,89978,2,2,10,Writing a birthday invitation,"
      Im 19 on Friday. Im having a party at my house. Lets eat cake ,dance, play and sing.The party starts at 5:00. Hope you can come!Alya
    ","Lets eat cake , dance , play and sing.The party starts at 5:00 ."
8,137644,88.0,sa,90530,4,2,26,Describing routines,"
      Mohammad Plays computer games every Friday. Plays guitar every Thursday in evening. Plays football in the afternoon. Jack Does homework every day. Sets the table in the morning. Does work every day. Jon Does laundry every week. Cooks lunch in afternoon. Does ironing on Thursday. You - Do yoga in the morning. - Walk the dog every day. - Drink milk every morning.
    ",Sets the table in the morning .
9,137644,88.0,sa,90530,4,2,26,Describing routines,"
      Mohammad Plays computer games every Friday. Plays guitar every Thursday in evening. Plays football in the afternoon. Jack Does homework every day. Sets the table in the morning. Does work every day. Jon Does laundry every week. Cooks lunch in afternoon. Does ironing on Thursday. You - Do yoga in the morning. - Walk the dog every day. - Drink milk every morning.
    ",Does ironing on Thursday .
10,137644,88.0,sa,90543,6,5,45,Writing on the family blog,"
      Khaled He is a good man but some time he's noisy. He is in elementary school, he want to be a poilet on feture. He's live with a big famley and big home. has mother is a frindly women and has father is strongar man. he has six brothors and he's a big one.
    ",has mother is a frindly women and has father is strongar man .
11,87272,100.0,sy,92176,2,2,10,Writing a birthday invitation,"
      Im 18 on Saturday. Im having a party at my house. Lets eat cake, dance and sing. The party starts at 7:30. Hope you can come! Jenny
    ","Lets eat cake , dance and sing ."
12,146079,100.0,sa,92753,2,2,10,Writing a birthday invitation,"
      Hi! Im 18 on Saturday. Im having a party at my house. Lets eat cake, dance and sing. The party starts at 7:30. Hope you can come!'Jenny
    ","Lets eat cake , dance and sing ."
