,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,121127,94.0,fr,1308,10,2,74,Doing a survey about discrimination,"
      I have been writing a survey about discrimination and I need someone to explain some points:First of all, do you know how The Sex Discrimination Act 1975 (SDA) has been applied until now?How would we have to proceed if we were a victim of discrimination?Who should we contact and where?In case of unlawful harassment, can we file a complaint against our employer ?What will be happening if you do it?Does it really risky?What should we do if the employer takes reprisals against ourselves?Is there someone really competent to help us and to explain us what we have to do exactly if you lose your job after a discrimination claim?How much will it cost if we take a lawyer?Why are there any Government stocks or charitable institution to bear the cost if it's too expensive for us?Thanks a lot for your help!
    ",Thanks a lot for your help !
1,50552,88.0,fr,1758,1,5,5,Updating your online profile,"
      As you can see, this software will help you to improve your sales. After one or two days of use, you will curse your old software because the new one has been created with users: each of these screens is user-friendly. If you have a look at this screen, you can see you dont need to search a long time where the validation button is. Its position is the same with whatever screen you use. Heres an interesting fact: its color is always green like. Remember that, its color is green like the green light. You know this light which allows you to continue to drive your car to the next road. Here, its the same: by clicking on this button, you continue doing the sale process for example.
    ",Heres an interesting fact : its color is always green like .
2,77595,96.0,fr,2740,3,4,20,Giving directions to a party at home,"
      Hi! Jane is very easy! Walk down Liverpool Road turn left. My home is opposite the park. Is between the restaurant and the supermarket.I make the tea at once!
    ",Is between the restaurant and the supermarket.I make the tea at once !
3,172014,85.0,fr,18228,10,1,73,Helping a friend find a job,"
      Hi, Anna! I've found an absolutely amazing job for you. Let me tell you why you should apply. This job is absolutely amazing! You will go to Florida 1 month holiday every year. The Florida is the most sunniest state in USA. You can observe wild crocodiles in Everglades. The are thousands of crocodiles. Your salary is urge, 50 000 $ for year. Is very well paid for Zookeeper. Also you have full accident insurance and health insurance. You paid nothing if you are a big problem. I encourage you for reply this announce. Let's go now for this exhilarating job! It's a dream job.
    ",Is very well paid for Zookeeper .
4,173585,98.0,fr,18930,4,2,26,Describing routines,"
      Julie, Does the homework every day. Goes to the bed at 8 O'clock pm. Wakes up at 6 am every day. Serge, Does laundry all day long except on Wednesday. Teaches French every Wednesday for 3 hours. Doesn't mop the floor. You, Brushes the teeth of the dog every day. Goes to the park with the dog only on Monday. Files one's nails of the dog every Sunday night.
    ",Goes to the bed at 8 O'clock pm .
5,173585,98.0,fr,18930,4,2,26,Describing routines,"
      Julie, Does the homework every day. Goes to the bed at 8 O'clock pm. Wakes up at 6 am every day. Serge, Does laundry all day long except on Wednesday. Teaches French every Wednesday for 3 hours. Doesn't mop the floor. You, Brushes the teeth of the dog every day. Goes to the park with the dog only on Monday. Files one's nails of the dog every Sunday night.
    ",Wakes up at 6 am every day .
6,173585,98.0,fr,18930,4,2,26,Describing routines,"
      Julie, Does the homework every day. Goes to the bed at 8 O'clock pm. Wakes up at 6 am every day. Serge, Does laundry all day long except on Wednesday. Teaches French every Wednesday for 3 hours. Doesn't mop the floor. You, Brushes the teeth of the dog every day. Goes to the park with the dog only on Monday. Files one's nails of the dog every Sunday night.
    ",Does n't mop the floor .
7,173585,98.0,fr,18930,4,2,26,Describing routines,"
      Julie, Does the homework every day. Goes to the bed at 8 O'clock pm. Wakes up at 6 am every day. Serge, Does laundry all day long except on Wednesday. Teaches French every Wednesday for 3 hours. Doesn't mop the floor. You, Brushes the teeth of the dog every day. Goes to the park with the dog only on Monday. Files one's nails of the dog every Sunday night.
    ",Goes to the park with the dog only on Monday .
8,83985,97.0,fr,37696,2,2,10,Writing a birthday invitation,"
      Hi! Im 33 on Sunday. Im having a party at my house. Lets eat cake, listen music, play game and dance. The party starts at 6:00. Hope you can come! Frederique
    ","Lets eat cake , listen music , play game and dance ."
9,102521,89.0,fr,39437,4,1,25,Writing about what you do,"
      i'm sales vendor and for the moment i like my job because i love the clothes and the fashion for womens. Sometimes it's boring because we haven't customers and we wait sit on a sofa.
    ",Sometimes it 's boring because we have n't customers and we wait sit on a sofa .
10,10905,98.0,fr,46914,4,5,29,Writing a description of your family,"
      I'm Raffaella. Im 28 years old. Im a smily person, fairly short and thin. Ive got long blond hair and blue eyes. They're four persons in my family my mother, my father, my brother and I. My mother has green eyes and short dark hair. My father has short blond hair, he's quite tall and thin. My brother has short blond hair and blue eyes, he's fairly short and thin.
    ","Im a smily person , fairly short and thin ."
11,93992,90.0,fr,68118,4,4,28,Writing about what you like doing,"
      Hi Dillon, Thank you for all activities you suggest doing for my birthday, it's very kind of you. In order of your propositions, I think the best thing we can do for first, it's a scuba dive morning (you know how much I love it) from 9am until 12 o'clock. Sorry for surfing, it's not possible for me because I'm not used in it, but if all the people like going sailing in the afternoon, it's ok for me, I like going sailing too because it's relaxing. I can't play any musical instruments, but I can sing. I like singing, it's so fun! Is this programm good for you <, I whish so. I'm sure it'll be an unforgettable birthday party. See you soon. Nathalie
    ","Is this programm good for you < , I whish so ."
12,107384,89.0,fr,68692,6,4,44,Writing a resume,"
      Mission : I'm looking for to apply my managment and my marketing skills.Education : Sept 1980 graduated in marketing. Oct 1980 - Mai 1980 seminars of Marketing.  Professional experience : June 1983 - Present :  Marketing Project Manager.  Managed a team a 15 sales people. Was responsible  customer service. Conducted training and  development relations skills.Nov 1980 - May 1983 : Organisation-managment  customer service. Languages : French (Intermediate),German (elementary)Interets and Activity : I enjoy play tennis -reading-cinema.
    ","Languages : French ( Intermediate ) , German ( elementary ) Interets and Activity : I enjoy play tennis -reading-cinema ."
13,79886,87.0,fr,73570,11,5,85,Reviewing a self-help book,"
      People are often suffering from career path confusion. Sometimes they make a good job or try to do their best. Even if they get a promotion, they are dissastified because it's just to do good impression with the hierarchy.At the beginning of a professionnal life, people don't think much about their job or career. They only want to keep theirs jobs and they are not confident.More later, things can be different, they have with the experience  a different point of view and  more open minded. Yet, for a experienced person, changing his carrer path can be complicated because he has to detemine what he likes more in his job and what jobs or activities could make him happier.For this, It is necessary to know his own personnality to find his right direction.
    ",Sometimes they make a good job or try to do their best .
14,148906,89.0,fr,73609,7,8,56,Posting comments on a celebrity forum,"
      Wow, it's awful! Alana asked Gavin to divorce? It's impossible! I have seen Alana and Gavin on the TV. They looked like young lovers. But the gossip said Alana got married only for a money. I can't believe it! She's so pretty, she doesn't seem like cheatting his husband. Isn't true! I don't trust a media. All the time, they appear the celebrity to be wrong life. If they hint the money around this story, it will hide another women in a Gavin's life. Who have thought it was a rumor?
    ",Is n't true !
15,77227,95.0,fr,99346,11,1,81,Writing a movie review,"
      &quot;The Tree of Life&quot;, by Terence Malik, was a very expected movie, because it has won the golden palm at Canne's festival. Those who like emotional scenes and beautiful pictures will enjoy the movie. Brad Pitt, as an ordinary father of the 1960's, brutal and idealist, is excellent. The relationships between this father and his sons, who admire their father and hate him at the same time, are very realistic. The movie would have been perfect if it were not so long. The most important part of the movie is about the story of human beings and the way we can communicate with God and the dead persons. Theses spiritual intentions turn to ridiculous scenes when two lovely dinosaurs appear on the screen. That beautiful movie confirms that it is difficult to show the God's hand with words and pictures.
    ",Theses spiritual intentions turn to ridiculous scenes when two lovely dinosaurs appear on the screen .
16,126990,85.0,fr,100923,4,2,26,Describing routines,"
      Sean Plays basketball every day in afternoon. Plays computer games at 6pm.Watches movies on Saturdays at 5pm. Granny Does laundry on tuesday afternoon. Does gardening in the morning. Does the table at 7pm. You Feed the dog at 7 am every days. Walk the dog every days afternoon. Feed the dog also at 5pm every day.
    ",Plays computer games at 6pm.Watches movies on Saturdays at 5pm .
