,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,94622,85.0,de,2381,4,1,25,Writing about what you do,"
      Hello, i''m stefanie. I''m a psychology student and trainee. At the moment i make an internship in a market research company. I like this job, because i always sit on the desk, write emails or talk on the phone. I usually take a break. My work always starts at 9 o'clock and ends at 18 o'clock. I don't like in this job, that i never go on business trips or have a meeting. Sometimes it's boring because i have nothing to do.
    ",Sometimes it 's boring because i have nothing to do .
1,107854,100.0,de,2619,2,2,10,Writing a birthday invitation,"
      Hi! Im 12 on Friday. Im having a party at my house. Lets eat cake, watch movies, dance and sing. The party starts at 3:50. Hope you can come!' Alex
    ","Lets eat cake , watch movies , dance and sing ."
2,100745,87.0,de,6437,2,2,10,Writing a birthday invitation,"
      Hello! Im 46 on Sonday. Im having a party at my house. Lets eat cake, dance and sing. The party starts at 7:00 pm. Hope you can come!'Michael
    ","Lets eat cake , dance and sing ."
3,84960,99.0,de,7992,10,8,80,Giving feedback about a colleague,"
      Now I am retired, but before in my working life ( as a teacher ) I remember especially one colleague with whom I worked together very closely. She managed the class and I came in the classroom for learning support. Sometimes it was necessary to take out of the classroom some pupils to teach them seperately. Othertimes we taught together in the classroom. It was a perfect teamwork. We didn't need great preparations, because fortunately we had the same ideas of education and didactic. The two of us got on really well together. The only think we got a little problem sometimes were that she came originally from the south of Germany and I from the nord. So she used some words I found nearly ridiculous and the same happened to her but always we resolved it with humor and laughing.
    ",Sometimes it was necessary to take out of the classroom some pupils to teach them seperately .
4,169877,94.0,de,8955,9,8,72,Writing a blog,"
      Hi guys! This is Bea. Im from Germany. I study business administration at the University of Cooperative Education in Heidelberg. This week my semester abroad started in London. I want to report about my new life abroad and new experiences in this blog. Yesterday I arrived in my student dorm directly on the campus. The campus is very big like a small village. My room is small and looks like a jail cell. I live with 6 other international students on a corridor. Today the international office invites us to a meet and greet. Bye! Tomorrow Ill tell you more.
    ",Today the international office invites us to a meet and greet .
5,142835,96.0,de,10359,13,3,99,Comparing two demographic groups,"
      Comparing the two demographic groups there is definitely a higher percentage of current magazine buyers to be recognised in the18- to 24-year-old male group. Competiton products in the female group are 100% higher than in the male group. The purchasing power in the female group is much lower than in the second group, however the estimated increase within the next 15 years is expected to succed 12 % in the female group whereas the male group's estimated increase is supposed to reach only 2%. Prognoses concerning the development of demographic size came to the result that the number of the female demographic group will increase from 25 million in 2010 up to 30 million in 2025 and the male demographic group will decrease from 25 million in 2010 down to 20 million in 2025. The highly increasing purchasing power and the estimated increase of 15- to 19-years-old women who are supposed to purchase at least one magazine monthly by the year 2025 offers more potential for the magazine industry. Last but not least women generally prefer magazines to blogs and their interest in fashion, stories, culture is almost exhaustless.
    ",Prognoses concerning the development of demographic size came to the result that the number of the female demographic group will increase from 25 million in 2010 up to 30 million in 2025 and the male demographic group will decrease from 25 million in 2010 down to 20 million in 2025 .
6,79653,92.0,de,13005,11,1,81,Writing a movie review,"
      The King s Speech The King s Speech is rewarded with 4 Oscars. Does he deserves it (question mark) Well, the whole scenery, the costumes and the life in old London is as authentic as the main actors problem to speak like every normal guy. He gives a brilliant performance. Britain s King doesn t have any hope to get cured. His way to salvation is not easy and you feel with him step by step, so the film makes a very good job to transport the emotion s of concern, disappointment and hope from the film to the spectator. So the film deserves the Oscars, any how it is not the right choice for action lovers.
    ","Does he deserves it ( question mark ) Well , the whole scenery , the costumes and the life in old London is as authentic as the main actors problem to speak like every normal guy ."
7,115957,87.0,de,14977,5,2,34,Writing a holiday postcard,"
      In california today is raining all afternoon. Is very wet. Then i will go to a museum and taste the very good food at one of the restaurants. But tomorrow will be very sunny. I will going to the beach. And wear my new swimsuite. In the evening i will visit a bar.
    ",Is very wet .
8,54676,95.0,de,24268,2,2,10,Writing a birthday invitation,"
      Hi, this Monday I have birthday. On saturday I''m having a party. Lets eat chips and cake. The party is in a restaurant, near my house. The party starts at 7 o''clock. Hope you can come. Rocco
    ",Lets eat chips and cake .
9,152852,97.0,de,25199,13,2,98,Renting out a room,"
      Welcome in your new home! This amazing object will make your dream of the perfect fitting home come true! If you are interested in a modern and luxury house with wood-framed ceilings, you found it right in this moment! Lets look at the details: There are 2 spacious bedrooms with walk-in closets and 3 luxury bathrooms included. The kitchen offers granite countertops with newly installed appliances. The living room has modern-art-furniture and an amazing wood-stove. If you are addicted to the lovely Munich-sun you can enjoy the sunny days at your new veranda. You will have sun all the day, because the veranda goes to the south-side of the building! And if you need some refreshments you can jump in the 10 m'-pool direct next to the veranda. The apartments rent for $1,560 is like a present! Especially when you see the perfect location in the middle of the city! Unfortunately you cannot bring some pets with you!
    ",Lets look at the details : There are 2 spacious bedrooms with walk-in closets and 3 luxury bathrooms included .
10,152852,99.0,de,25206,14,1,105,Writing advertising copy,"
      To: xxx@hotmail.com CEO Century CC: xxx@1234.com Subject: New advertising campaign for Century! Highly honored John Smith, As you certainly know our Advertising Associate Elizabeth Hamilton has sent me three images and slogans for our new advertising campaign. Now it is up to me to choose the most appropriate image and slogan for the new campaign. I would like to inform you that I have decided to pick the third one. The reason why I have chosen this image and slogan is quiet simple! Considering that our target group is stylish and classic men, who are earning good money, it is an obvious choice. The main question we should ask ourselves is where we can find those men. The answer is rather easily. They are spending their vacation on the golf track. To sell our product we should try to convey an impression of team-spirit. For that reason I think the slogan Golf and Century. The perfect team. Is the most convenient! Yours sincerely Advertising Director Tobias Weinmann
    ",Is the most convenient !
11,108058,93.0,de,29033,5,3,35,Labeling photos from a safari,"
      The Monkeys are much friendly and so cute. They like bananas. Monkeys are lovely and very interesting. There can climbing and jump. In germany the monkeys live almost anytime in a zoological garden. Sometimes the monkeys are an attraction in a circus. In africa they live in the free nature.
    ",Sometimes the monkeys are an attraction in a circus .
12,58531,100.0,de,29525,5,4,36,Giving instructions to a house-sitter,"
      Hi John! We water the plants every morning. We take water from the kitchen. We take the dogs for a walk every morning and every evening. We don't walk the dogs at rain. They love playing games in the park. We feed the dogs every night and the birds every morning. Check the birds water on Tuesday and Thursday. We feed the fish every second day in the afternoon. We bring out the trash every night. We clean the house and sweep the floor twice a week. Thanks a lot. Yours Peter & Sandra
    ",Thanks a lot .
13,24491,96.0,de,30862,2,2,10,Writing a birthday invitation,"
      Hi! I'm 25 on saturday. My birthday party at my house. Lets eat cake, listen to musik and dance. My party starts at 8 o'clock. Hope you can come!
    ","Lets eat cake , listen to musik and dance ."
14,78001,85.0,de,31393,4,1,25,Writing about what you do,"
      I am a police officer. Usually I drive a patrol motor bike and surveil the traffic regulations. I often have to fine car drivers after making irregulations. My present field of activity is the preventing of traffic accidents and investigation the causes of serious accidents and securing the traces of them. Occasionaly I detention people. I like my job. Sometimes it's difficult.
    ",Sometimes it 's difficult .
