,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,117014,79.0,id,60418,4,5,29,Writing a description of your family,"
      This is my family. There are nine people in my family : my mum, dad, little brother, little sister, four old sisters and I. My father is called Andi. He has short, straight, black hair. My dads very tall, just like me, maybe 190 centimeters. Hes also fairly thin. Hes a entrepreneur, and hes very friendly. He is wearing a black polo shirt and black pants. My mother, Kinanti, is wearing a red blouse and black pants. She has short and fairly thin. Shes a housewife and she works to manage our home. The boy who wearing black T-Shirt is my little brother. His name is Adityawarman. My little brother is a engineering. Hes twenty-two. He working in the electricity company in my country. My brothers nice, friendly and happy. But hes also very lazy. The girl who wearing pink dress is My little sister. Her name is Rahayu. My little sister very tall too. She has long, straight, black hair. My sister is a student in Islamic Junior High school. She is a spoiled girl. My old sisters is very nice. They are a beaufiful, good-looking women, and very friendly. My old sisters work as entrepreneur, and civil servant. We are a happy family!.
    ",Shes a housewife and she works to manage our home .
1,117014,80.0,id,60441,7,4,52,Writing about a memorable experience,"
      Hey Tim, I'm fine here. I have been busy for this month, I did more office project. I read your email about your travel. Sounds scary and it was too dangerous. I had a scary experience too. Last week, when I did my work at my office in lunch time. Some people yelled in the other room. They saw a fire around our office. It happened very quickly because there was a strong wind. And the fact, nothing firefighter team in this city. It was scary. So, some people came in contact with distributor of clean water to using their car and tank. Luckily, the fire died down. There was eight house burned away. See next time, bro.
    ",Sounds scary and it was too dangerous .
2,63917,98.0,id,238789,4,2,26,Describing routines,"
      Luke - My Son1. Gets up at 5.30am everyday2. Has breakfast at 6.30am everyday3. Goes to school at 8.00am every weekday4. Finishes from school at 11.45pmBetty - My Dog1. Walks out at 6.00am2. Takes shower at 11.00am once in a week3. Get immunization injection (check the schedule in the immunization book) 
    ",Gets up at 5.30am everyday2 .
3,63917,98.0,id,238789,4,2,26,Describing routines,"
      Luke - My Son1. Gets up at 5.30am everyday2. Has breakfast at 6.30am everyday3. Goes to school at 8.00am every weekday4. Finishes from school at 11.45pmBetty - My Dog1. Walks out at 6.00am2. Takes shower at 11.00am once in a week3. Get immunization injection (check the schedule in the immunization book) 
    ",Goes to school at 8.00am every weekday4 .
4,63917,98.0,id,238789,4,2,26,Describing routines,"
      Luke - My Son1. Gets up at 5.30am everyday2. Has breakfast at 6.30am everyday3. Goes to school at 8.00am every weekday4. Finishes from school at 11.45pmBetty - My Dog1. Walks out at 6.00am2. Takes shower at 11.00am once in a week3. Get immunization injection (check the schedule in the immunization book) 
    ",Walks out at 6.00am2 .
5,127812,83.0,id,443951,5,8,40,Giving cultural tips to a visitor,"
      Dear Friend,When you come first to visit in Canada, You shouldn't yell down the street to a friend, You shouldn't also stay too late when visiting our neighbours, You shouldn't go out alone at night. There are few things that we should remember to do such as: We should always bring gifts when visiting someone's house, We should control our children because it's dangerous to let them play without our supervision. Thanks a lot and make it fun your time in Canada. I'll be waiting for you.
    ",Thanks a lot and make it fun your time in Canada .
6,127812,93.0,id,443952,6,1,41,Writing a movie plot,"
      Dear Glane,It 's a good must see movie. First, There's a couple who had a relationship in the large suburban area located in Finland. Next, They got married and have been having two children till now. Unfortunately, Their mother got a bad breast cancer and then the doctor said it couldn't be nursed. After that, Their mother got some medicine and she's going to get better for several days. Ind the end, they live together with spirit of loveliness. It's a true love story between Jhon and Isabella's family. Thanks a lot.Kind regards,Aryayudha
    ","Ind the end , they live together with spirit of loveliness ."
7,142610,98.0,id,470100,2,2,10,Writing a birthday invitation,"
      Hi Teacher! Im 30 on Sunday. Im having a party at the restaurant. Lets eat cake, dance and sing. The party starts at 7:00. Hope you can come! Eka
    ","Lets eat cake , dance and sing ."
8,13130,92.0,id,471353,4,2,26,Describing routines,"
      Rizal Surfs the internet everyday , plays the football on tuesday, goes to run every morning, studies english course on tuesday, thursday and saturday at 8pm. Eats out once a week. goes to shopping every saturday. plays the games every evening. listens to the music every morning. drives a car everyday. Watches the news every morning
    ",goes to shopping every saturday .
9,13130,92.0,id,471353,4,2,26,Describing routines,"
      Rizal Surfs the internet everyday , plays the football on tuesday, goes to run every morning, studies english course on tuesday, thursday and saturday at 8pm. Eats out once a week. goes to shopping every saturday. plays the games every evening. listens to the music every morning. drives a car everyday. Watches the news every morning
    ",plays the games every evening .
10,13130,92.0,id,471353,4,2,26,Describing routines,"
      Rizal Surfs the internet everyday , plays the football on tuesday, goes to run every morning, studies english course on tuesday, thursday and saturday at 8pm. Eats out once a week. goes to shopping every saturday. plays the games every evening. listens to the music every morning. drives a car everyday. Watches the news every morning
    ",listens to the music every morning .
11,13130,92.0,id,471353,4,2,26,Describing routines,"
      Rizal Surfs the internet everyday , plays the football on tuesday, goes to run every morning, studies english course on tuesday, thursday and saturday at 8pm. Eats out once a week. goes to shopping every saturday. plays the games every evening. listens to the music every morning. drives a car everyday. Watches the news every morning
    ",drives a car everyday .
12,33339,98.0,id,478989,4,5,29,Writing a description of your family,"
      I have a big family. My husband is 67 years old. He has a curly, short and white hair. I.m a 56 years old. My hair is straight,short,brown. I have 3 children. My first son is Jimmy. He has 3 children too. His second daughter has curly hair. She look like her mother. But his first daughter has straight,black hair. My second son is Richard. My daughter is Siska.Some people say Richard and Siska look like me. Siska has long,brown hair. Richard has curly,brown hair.
    ",I.m a 56 years old .
13,133292,99.0,id,502619,6,4,44,Writing a resume,"
      Mark Max ### Flower Street, Boston MA 76398 , (###) ###-#### , xxx@max.com Marketing Executive Highly self motivated and outgoing person. Has 10 years experience in Marketing. Lead a small sales team. Worked as restaurant manager for 2 years. Qualification Summary -In-depth experience in management skill -Willingness to work-hard, highly organized and reliable Education & Training -Bachelor of Communication, Cum Laude, June 1988
    ",Has 10 years experience in Marketing .
