,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,54765,98.0,it,1229,4,2,26,Describing routines,"
      Elisa Gets up at 7 am every day. Eats only vegetables. Does homework every afternoon. Watches TV at 6 pm. Goes to bed at 10 pm. Trudy Feet the dog at 7 am every day. Walk the dog in the morning, afternoon and evening. Feet the dog at 8 pm every day. Wash the dog on Saturday in the afternoon.
    ",Goes to bed at 10 pm .
1,13837,86.0,it,12578,4,2,26,Describing routines,"
      elisa plays the guitar at 9 o clock twice a week. surfs the internet every day in the evening. walks the dog every day in the afternoon. does the loundry on saturday afternoon
    ",walks the dog every day in the afternoon .
2,173135,89.0,it,12737,5,1,33,Planning to attend a music festival,"
      Hy mom and pop. I'm going to go to a music festival this summer. I'm going to listen to pop music, I want  see David Guetta,Usher,Jason Derulo. Is the best in over the world. I'm sleeping in a tent for the all festival. I'm taking a tent,T-shirts,shorts,sunglasses. The weather is beautiful in summer.
    ",Is the best in over the world .
3,28885,68.0,it,13677,7,6,54,Issuing a written warning,"
      Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve about Teamwork, updates the database, time management, has been late for several appointments. Is very untidy. Before, you have to improve yourself about communicate with collegues and you must be more tidy, professional, carefull with time management. I hope you'll improve very soon. Bests regards. The Boss
    ",Is very untidy .
4,128461,96.0,it,13909,2,2,10,Writing a birthday invitation,"
      Hi! Im 46 on Saturday. Im having a party at dance club &quot;Master&quot;- address Milano street Abruzzi. Lets eat cake, dance and sing. The party starts at 9:30. Hope you can come!' Flavio
    ","Lets eat cake , dance and sing ."
5,12074,89.0,it,15042,10,1,73,Helping a friend find a job,"
      Hi Anna!I've found an announcement of a fantastic and exciting zookeeper's job on the net!it seems to be perfectly suitable for your needs.Infact,it's by far the most amazing,original and dinamic job opportunity I've seen in front of my eyes in these days.In particular,you'd have to prepare food and feed animals and, at the same time,you could feed your hungry for original and extreme experiences,or also just looking at the fantastic scenaries the wild and unpolluted natural enviroment offers you...oh,I urge you to apply immediately for this fantastic job!The salary is good,too..it's 50000 dollars and you have all the benefits you need:a complete accident insurance,one month holiday every year and the opportunity to go to Florida to observe the crocodiles by near! Please,consider all of it!kisses!
    ",kisses !
6,173978,95.0,it,15112,5,8,40,Giving cultural tips to a visitor,"
      Dear friend, I want give you some information about Canadian customs. Here to yell is considered inappropriate so, you shouldn't yell down the street. The big cities, after midnight, are a little bit dangerous so, you should not go out alone at night. Is usual, in Canada, you should bring a small gift when you go visit someone. Another thing very important, when going through a door with other people, you should always let ladies go first. Best regard Alberto
    ","Is usual , in Canada , you should bring a small gift when you go visit someone ."
7,142271,92.0,it,16554,3,6,22,Writing your online profile,"
      Name: Massimo. Age 52. Birthday: 29 august. Lives in Italy, Milan. Favorite Season: springtime: Favorite animal: dog. Time: night. Day: saturday.
    ","Lives in Italy , Milan ."
8,104026,89.0,it,21573,7,2,50,Planning for the future,"
      is my goal for the next five year to improve my job position to get director of my actual company. I would like to stay in the same field because i think that is my more suitable than manufacturing area.
    ",is my goal for the next five year to improve my job position to get director of my actual company .
9,37536,90.0,it,21888,8,8,64,Claiming back your security deposit,"
      I have buy a house in London at the beginning of this year. There were many problems with the house, but the landlord promise me that he would fix everything in few month. I believed him and since I really like the house I signed the contract. Unluckily Ive been victim of a fraud. Is almost six month I live here and the lights sill dont work, the drain are clogged and the roof is leaking. I know that the law protect me as a customer, so I would know what I can do for have my money back.Thank you, best regards.
    ","Is almost six month I live here and the lights sill dont work , the drain are clogged and the roof is leaking ."
10,87346,85.0,it,26842,4,1,25,Writing about what you do,"
      I am Giorgia and I don't work, beacuse I study contemporary art at the university. My studies are very interesting. I like art and my country is full of art. Sometimes it's difficult because I also study old ages and I don't like very much. But I try to do the best I can.
    ",Sometimes it 's difficult because I also study old ages and I do n't like very much .
11,27248,94.0,it,27369,4,7,31,Complaining about chores,"
      I washed the dishes on Monday and on Wednesday. On Thursday I payed the bills. On Friday I made our beds and I did the laundry! On Sunday I vacuumed the carpets and the floor...Finaly the part most fun was that I did shopping with your credit card!! Thanks a lot! I will return back the amount next week...when you will do all homeworks!!
    ",Thanks a lot !
12,86703,85.0,it,29675,5,2,34,Writing a holiday postcard,"
      Hi Family, I'm in California. I't a beautiful place but the weather is very bad today! Is't going to rain in the afternnon and it's better stay indoor so I'm going to stay in Hotel; tomorrow the weather is going to be very hot and sunny whith temperatures 108 degrees Fahrenheit. I Hope to go to the beach! See you soon Silvia
    ",I't a beautiful place but the weather is very bad today !
13,86703,97.0,it,29689,6,8,48,Rescheduling an appointment,"
      Hi friend, I heard your messagge. I'm sorry, but tuesday i'll have got plans. Can we reschedule for another time? If you want, Tuesday, we could eat out for dinner. I know an Italian restaurant in the center. I't a small place with red side and green tables. The food is very good and the place is very clean and tidy. Let me know! See you soon Silvia
    ",I't a small place with red side and green tables .
14,78824,90.0,it,34111,5,2,34,Writing a holiday postcard,"
      Hi Mum.I'm in Santa Monica. The city is very beautiful. I went to museum and I aet at one of the great restaurant of the city. Sometimes the weather is wet, but often it's hot and we go to the beach. This evening we are going to the bar for meet friends. I hope you and dad are well. See you soon.Mark
    ","Sometimes the weather is wet , but often it 's hot and we go to the beach ."
15,118807,95.0,it,39024,5,8,40,Giving cultural tips to a visitor,"
      Dear friend, Im glad of your visit. Here are a few things you should know about Canadian culture. Is inappropriate yelling, or speaking loudly, down the street. Also, you shouldn't stay too late when visiting: you should choose the right time to go. Again, you shouldn't go out alone at night, it could be dangerous. Most important: don't smoke in any public building: it's against the law. See you soon. Massimo
    ","Is inappropriate yelling , or speaking loudly , down the street ."
16,93001,95.0,it,43059,7,6,54,Issuing a written warning,"
      Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve. Be punctual, arrive in time at the meetings; wash your coffee cup by yourself. Be well organized. Put in order papers and files on the shelves, at the end of the work. Always remember to update the database with the details of your work with the clients. I hope you follow my advices. Best Regards, Valeria
    ",Always remember to update the database with the details of your work with the clients .
17,143883,90.0,it,43832,4,2,26,Describing routines,"
      I usually feed the dog at 8 am and 5 pm every day an I walk the dog in afternoon. Granny does laundry on tuesday afternoon and does gardening in the morning. Sets the table at 6pm. Sean plays basketball every afternoon and plays pc games at 6pm. Watches movies on Saturday at 5pm.
    ",Sets the table at 6pm .
18,170909,84.0,it,48092,4,1,25,Writing about what you do,"
      I work in Rome, I'm goldsmith. I like my job because I make jewells and that is very interesting. I always tolk the people and help you for realized they your ideas. Always the people are satisfied the my work. My speciality is etruscan art, but I work whit chaser and wax modelling. I'm designer of jewelles too.
    ",Always the people are satisfied the my work .
19,91070,100.0,it,50721,7,3,51,Writing a job advertisement,"
      Jhon Tiles Ltd., in Manchester, is looking for an outgoing, hardworking and reliable Regional Marketing Manager. Job duties include design adverts, manage projects and work with sales to build client base. Is required a BA marketing or similar and 3 years relevant experience. The salary range is $35.000 to $40.000 a year, with increasing possibility. Contact us: cellphone ########## - email xxx@libero.it
    ",Is required a BA marketing or similar and 3 years relevant experience .
20,166488,92.0,it,50761,8,1,57,Writing a natural remedies pamphlet,"
      Home remediesThe best remedy for pain is a tea made from white willow bark and cayenne pepper.For congestion, an excellent remedy is a poultice of mustard powder mixed with water. Is an excellent remedy for the people that suffer of this problem.For nausea, an excellent remedy are ginger and raspberry leaf, chewed or in a tea. This will help any kind of nausea, like travel sickness or morning sickness. Besides, it will help the usually symptoms of the pregnant womans like nauseas.
    ","Is an excellent remedy for the people that suffer of this problem.For nausea , an excellent remedy are ginger and raspberry leaf , chewed or in a tea ."
21,102214,84.0,it,51695,8,2,58,Reviewing a song for a website,"
      Home improvement is a pleasant protest song about Americ's consumer society. Josh Woodward is considered special by his fans! Home Improvement is smooth, original, professional altough talks about negative issues. The song has a full arrangement and is not just the singer. Has a great melody. From lyric transpires protest so this song shows some the feeling of town home.
    ",Has a great melody .
22,146593,80.0,it,52316,9,1,65,Giving feedback to a restaurant,"
      Food is one of the best pleasure in our life. It is so a good habit to start the day with a good  coffee and some homemade biscuit, or a cup of milk and cereals. This gives you the energy you need to be ready to face a new working day. Go to the restaurant it is an easy way to relax and mix good company with delicious food. Some modern restaurants as the fusion one, they combine different kinds of cuisine, offering the possibility to taste a lot of savours in one time. Over all I think italian cuisine is the best one. Italians combine tradition with fresh local products and with a extreme variety of recipes and plates. 
    ",Italians combine tradition with fresh local products and with a extreme variety of recipes and plates .
23,104598,88.0,it,56201,10,7,79,Presenting trends,"
      The graphs show the sales figures for Best Books Company in the National and International Market, between the years 2004 and 2008. The vertical scale displays the number of books sold, the horizontal scale displays the time(2004-2008). I start to analyze the National sales figures(N.F.S.). From 2004 to 2005 is shown a positive trend the N.F.S. rose from zero to one million, the trend did not change until 2006, when the N.F.S. rose dramatically from 1 M to 2, 7 M, the peak is reached in may 2007. Since May 2007 the trend of N.F.S. decreased to steadily to 1,7 M. The International sales figures(I.F.S.) shows different trend. Between 2004 and June 2005 is shown a positive trend, the I.F.S. rose from zero to 2,5 M, this is the peak. Since June 2005 the I.F.S. trend dropped steeply from 2,5M to 0.8 M. If we compared the two trends N.F.S. and I.F.S. it can be clearly seen that the N.F.S. is always higher than I.F.S., so the national market is more competitive than the national market.
    ","is always higher than I.F.S. , so the national market is more competitive than the national market ."
24,22158,99.0,it,68467,4,2,26,Describing routines,"
      Sean Plays basketball every afternoon. Plays computer games at 6pm. Watches movies on Saturday at 5pm. Granny Does laundry in Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. Me I feed the dog at 8am every day. I walk the dog in the afternoon. I feed the dog again at 5pm every day.
    ",Plays computer games at 6pm .
25,22158,99.0,it,68467,4,2,26,Describing routines,"
      Sean Plays basketball every afternoon. Plays computer games at 6pm. Watches movies on Saturday at 5pm. Granny Does laundry in Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. Me I feed the dog at 8am every day. I walk the dog in the afternoon. I feed the dog again at 5pm every day.
    ",Does gardening in the morning .
