,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,104712,95.0,jp,29037,8,1,57,Writing a natural remedies pamphlet,"
      Recently, many people feel chronically ill. If you get tired easily, you may have a weakened immune system. Lets try taking crushed garlic with lemon and acerola. It is very good for suppressed immune system. If you have stiff shoulders, put a hot mixture of vinegar, olive oil, and eucalyptus on your aches and pains. It will treat your pains! If you are exhausted and feel nausea, ginger and raspberry leaf will help you. Please chew them or put it in a tea. Home remedies will good for you.
    ",Lets try taking crushed garlic with lemon and acerola .
1,49152,83.0,jp,29946,4,2,26,Describing routines,"
      Sean Plays basketball every afternoon. Plays comupter games at 6pm. Watched movies on Saturday at 5pm. Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm
    ",Does gardening in the morning .
2,124910,86.0,jp,35216,5,2,34,Writing a holiday postcard,"
      Hi! Mam and Dad,Im in Santa Monica to spend short vacation. Todays whether is sunny and hot, but it is going to be rainy tomorrow. Today, Im going to go to beach, to swim and to get a suntan. Tomorrow, I will go to a museum and eat local foods at famous restaurant in Santa Monica. I will buy many presents for them. Please expect me.See you.Kanayo
    ","Todays whether is sunny and hot , but it is going to be rainy tomorrow ."
3,7663,89.0,jp,51561,10,6,78,Describing a terrifying experience,"
      The night mare of elm street.Meg was going out to work as usual. It's amazing how gorgeous the morning was until it all happened.She met a young couple get out of a car. They suddenly breaking the window of the local newsagents with a hummer, and throwing paint on the store front.The young lady of the couple came at Meg waving a gun. It was astonishing. Fortunately, a pesser-by, a nice handsome looking guy caught the young lady by the hair. Turns out it was a wig.The young woman wasn't a young woman, but a teenage boy.It was most terrifying day of Meg's life.
    ","Turns out it was a wig.The young woman was n't a young woman , but a teenage boy.It was most terrifying day of Meg 's life ."
4,66588,89.0,jp,100219,7,4,52,Writing about a memorable experience,"
      Hi Tim I had funny experience. I went to China for business. I had stayed two weeks. After my business, I got ferry. Normally, ferry had a few passenger. so seat was free. but that time ferry was full. but many people didn't sat own seat. Of course I was sitting other person's seat. then, a man showed me his ticket and said&quot; It's my seat&quot; . I had to move to mine, but my seat was taken . So I told them ' It's mine'. he moved to his seat, but his seat was taken too. looks like billiards game!
    ",looks like billiards game !
5,30400,95.0,jp,120549,4,2,26,Describing routines,"
      Dear housekeeper Sean he plays basketball every afternoon and plays computer games at 6pm. He wathes movies on Saturdays at 5pm. Granny does Laundry on Tuesday afternoon. does gardening in the morning. sets the table at 6pm. You feed the dog at 8am every day. walk the dog in the afternoon. feed the dog again at 5pm every day. Thank you.
    ",does gardening in the morning .
6,30400,95.0,jp,120549,4,2,26,Describing routines,"
      Dear housekeeper Sean he plays basketball every afternoon and plays computer games at 6pm. He wathes movies on Saturdays at 5pm. Granny does Laundry on Tuesday afternoon. does gardening in the morning. sets the table at 6pm. You feed the dog at 8am every day. walk the dog in the afternoon. feed the dog again at 5pm every day. Thank you.
    ",sets the table at 6pm .
7,157347,90.0,jp,121934,4,2,26,Describing routines,"
      michikazu surfs the internet everyday. comes back home at 7pm. makes and eats dinner at 8pm. goes jogging on Sunday evening. does the laundry on Sunday morning. goes for work at 7am on Monday throw Friday. eats lunch at between 1pm and 3pm. takes shower soon after coming back home.
    ",comes back home at 7pm .
8,157347,90.0,jp,121934,4,2,26,Describing routines,"
      michikazu surfs the internet everyday. comes back home at 7pm. makes and eats dinner at 8pm. goes jogging on Sunday evening. does the laundry on Sunday morning. goes for work at 7am on Monday throw Friday. eats lunch at between 1pm and 3pm. takes shower soon after coming back home.
    ",makes and eats dinner at 8pm .
9,157347,90.0,jp,121934,4,2,26,Describing routines,"
      michikazu surfs the internet everyday. comes back home at 7pm. makes and eats dinner at 8pm. goes jogging on Sunday evening. does the laundry on Sunday morning. goes for work at 7am on Monday throw Friday. eats lunch at between 1pm and 3pm. takes shower soon after coming back home.
    ",goes jogging on Sunday evening .
10,157347,90.0,jp,121934,4,2,26,Describing routines,"
      michikazu surfs the internet everyday. comes back home at 7pm. makes and eats dinner at 8pm. goes jogging on Sunday evening. does the laundry on Sunday morning. goes for work at 7am on Monday throw Friday. eats lunch at between 1pm and 3pm. takes shower soon after coming back home.
    ",does the laundry on Sunday morning .
11,157347,90.0,jp,121934,4,2,26,Describing routines,"
      michikazu surfs the internet everyday. comes back home at 7pm. makes and eats dinner at 8pm. goes jogging on Sunday evening. does the laundry on Sunday morning. goes for work at 7am on Monday throw Friday. eats lunch at between 1pm and 3pm. takes shower soon after coming back home.
    ",goes for work at 7am on Monday throw Friday .
12,157347,90.0,jp,121934,4,2,26,Describing routines,"
      michikazu surfs the internet everyday. comes back home at 7pm. makes and eats dinner at 8pm. goes jogging on Sunday evening. does the laundry on Sunday morning. goes for work at 7am on Monday throw Friday. eats lunch at between 1pm and 3pm. takes shower soon after coming back home.
    ",takes shower soon after coming back home .
13,59023,91.0,jp,129423,4,2,26,Describing routines,"
      Kei wakes up at 5:50 am. eats breakfast at 6:00 am. leaves for work at 6:15 am. comes home at 8:30 pm. eats dinner at 9 pm. takes a bath at 10 pm. You - feed the dog at 7 am everyday. - walk the dog at 9 am. - feed the dog again at 5 pm every day.
    ",comes home at 8:30 pm .
14,59023,91.0,jp,129423,4,2,26,Describing routines,"
      Kei wakes up at 5:50 am. eats breakfast at 6:00 am. leaves for work at 6:15 am. comes home at 8:30 pm. eats dinner at 9 pm. takes a bath at 10 pm. You - feed the dog at 7 am everyday. - walk the dog at 9 am. - feed the dog again at 5 pm every day.
    ",takes a bath at 10 pm .
15,119817,90.0,jp,149982,4,2,26,Describing routines,"
      Seon : He plays basketball every afternoon. He plays computer games at 6pm. He watches movies on Satrdays at 5pm. Granny : Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. Me : I feed the dog at 8am every morning. I walk the dog in the afternoon. I feed the dog again at 5pm at everyday.
    ",Does gardening in the morning .
16,119817,90.0,jp,149982,4,2,26,Describing routines,"
      Seon : He plays basketball every afternoon. He plays computer games at 6pm. He watches movies on Satrdays at 5pm. Granny : Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. Me : I feed the dog at 8am every morning. I walk the dog in the afternoon. I feed the dog again at 5pm at everyday.
    ",Sets the table at 6pm .
17,134122,90.0,jp,157298,2,3,11,Writing a weather guide for your city,"
      In Tokyo, beautful seasons are spring and autumn. In spring, it's warm and sunny. You can usually look cherry blossoms anywhere in Tokyo. In autumn, It's cool and sunny. Leaves chang color, brown, yellow, red. There are much delicious foods .
    ","Leaves chang color , brown , yellow , red ."
18,74828,98.0,jp,169886,5,1,33,Planning to attend a music festival,"
      Hi, mom and dadI'm going to go to a Korean pop music festival with my friends next month. Nov 6th. I'm going to listen and dance. I'm taking a back pack, towels, bottles of water, hat and coat. I think that it'll be fair. I'm wearing band's T-shirt. Tickets cost me 6000 yen. I can't wait.
    ",Tickets cost me 6000 yen .
19,37686,96.0,jp,191697,4,2,26,Describing routines,"
      Dear House Keeper I wrote routine of Sean,Granny . Sean Plays basketball every afternoon. Plays computer games at 5pm. Watches movies on Saturday at 5pm. Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. And I want you to do these things. Feed the dog at 8am every day. Walk the dog in the afternoon. Feed the dog again at 5pm every day.
    ",Plays computer games at 5pm .
20,37686,96.0,jp,191697,4,2,26,Describing routines,"
      Dear House Keeper I wrote routine of Sean,Granny . Sean Plays basketball every afternoon. Plays computer games at 5pm. Watches movies on Saturday at 5pm. Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. And I want you to do these things. Feed the dog at 8am every day. Walk the dog in the afternoon. Feed the dog again at 5pm every day.
    ",Does gardening in the morning .
21,37686,96.0,jp,191697,4,2,26,Describing routines,"
      Dear House Keeper I wrote routine of Sean,Granny . Sean Plays basketball every afternoon. Plays computer games at 5pm. Watches movies on Saturday at 5pm. Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. And I want you to do these things. Feed the dog at 8am every day. Walk the dog in the afternoon. Feed the dog again at 5pm every day.
    ",Sets the table at 6pm .
22,34300,94.0,jp,194437,4,2,26,Describing routines,"
      make breakfast at 6am every day. do the laundry on Saturday. mops the floor every afternoon. make dinner at 7pm every day. do housework on Saturday. go shopping on Sunday. walk the dog at 7am every day. feed the dog at 7:30am every day. feed the dog again at 7pm every day.
    ",mops the floor every afternoon .
