,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,137043,88.0,cn,551,7,6,54,Issuing a written warning,"
      Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve. 1). Does's think about the teamwork, and never update the database. _ You have to communicate with colleagues more often, let them know what you are doing. 2). Isn't good at time management, and has been late for several appointment. _ You must be more careful with time management. Try to make a plan of your every day work ahead of time, then finish them one by one on time. 3). Is very untidy. _You must be more tidy and professional. Finally, please pay your great attention about all these problems, and do you great effort to overcome them asap. Good luck. Supervisor
    ","Is n't good at time management , and has been late for several appointment ."
1,137043,88.0,cn,551,7,6,54,Issuing a written warning,"
      Dear James, Some serious problems have been brought to my attention relating to your working style and habits. This is a formal letter of warning to ask you to improve your work. Let me outline the areas in which you need to improve. 1). Does's think about the teamwork, and never update the database. _ You have to communicate with colleagues more often, let them know what you are doing. 2). Isn't good at time management, and has been late for several appointment. _ You must be more careful with time management. Try to make a plan of your every day work ahead of time, then finish them one by one on time. 3). Is very untidy. _You must be more tidy and professional. Finally, please pay your great attention about all these problems, and do you great effort to overcome them asap. Good luck. Supervisor
    ",Is very untidy .
2,63269,94.0,cn,1121,5,4,36,Giving instructions to a house-sitter,"
      Dear friend, Thanks for looking after my pets and house. Every morning, I water my plants, the water can is in my kitchen, it's easy for you to see it. I walk my dogs at 8:00am and 3:00pm, they like to play games, but don't do that in rain. they eat dog food at night, you can feed them after your dinner. The birds are different, they eat food and 8:30am, please don't forget to check water on Tuesdays and Thursdays. Can you see the fish? I feed them in the afternoon of Mondays, Wednesdays and Fridays. That's my pets. For my housework, I clean the house and sweep the floor two times a week. Thanks a lot.
    ",Thanks a lot .
3,41734,76.0,cn,1545,4,2,26,Describing routines,"
      Tony (my son) gets up at 6:30am every day. does his homework on Monday to Friday. plays computer games in the evening on Saturday. goes swimming once a week. Paul (my husband) eats breakfast at 7:30am every day. does the laundry on Wednesday. has dinner at 7:00pm every day. goes jogging once a week. mops the floor on Saturday. watches movies once a month. Wangwang (my dog) eats lunch at 12:00am every day. walks in the afternoon every day. helps it washing every day.
    ",does his homework on Monday to Friday .
4,41734,76.0,cn,1545,4,2,26,Describing routines,"
      Tony (my son) gets up at 6:30am every day. does his homework on Monday to Friday. plays computer games in the evening on Saturday. goes swimming once a week. Paul (my husband) eats breakfast at 7:30am every day. does the laundry on Wednesday. has dinner at 7:00pm every day. goes jogging once a week. mops the floor on Saturday. watches movies once a month. Wangwang (my dog) eats lunch at 12:00am every day. walks in the afternoon every day. helps it washing every day.
    ",plays computer games in the evening on Saturday .
5,41734,76.0,cn,1545,4,2,26,Describing routines,"
      Tony (my son) gets up at 6:30am every day. does his homework on Monday to Friday. plays computer games in the evening on Saturday. goes swimming once a week. Paul (my husband) eats breakfast at 7:30am every day. does the laundry on Wednesday. has dinner at 7:00pm every day. goes jogging once a week. mops the floor on Saturday. watches movies once a month. Wangwang (my dog) eats lunch at 12:00am every day. walks in the afternoon every day. helps it washing every day.
    ",goes swimming once a week .
6,41734,76.0,cn,1545,4,2,26,Describing routines,"
      Tony (my son) gets up at 6:30am every day. does his homework on Monday to Friday. plays computer games in the evening on Saturday. goes swimming once a week. Paul (my husband) eats breakfast at 7:30am every day. does the laundry on Wednesday. has dinner at 7:00pm every day. goes jogging once a week. mops the floor on Saturday. watches movies once a month. Wangwang (my dog) eats lunch at 12:00am every day. walks in the afternoon every day. helps it washing every day.
    ",does the laundry on Wednesday .
7,41734,76.0,cn,1545,4,2,26,Describing routines,"
      Tony (my son) gets up at 6:30am every day. does his homework on Monday to Friday. plays computer games in the evening on Saturday. goes swimming once a week. Paul (my husband) eats breakfast at 7:30am every day. does the laundry on Wednesday. has dinner at 7:00pm every day. goes jogging once a week. mops the floor on Saturday. watches movies once a month. Wangwang (my dog) eats lunch at 12:00am every day. walks in the afternoon every day. helps it washing every day.
    ",has dinner at 7:00pm every day .
8,41734,76.0,cn,1545,4,2,26,Describing routines,"
      Tony (my son) gets up at 6:30am every day. does his homework on Monday to Friday. plays computer games in the evening on Saturday. goes swimming once a week. Paul (my husband) eats breakfast at 7:30am every day. does the laundry on Wednesday. has dinner at 7:00pm every day. goes jogging once a week. mops the floor on Saturday. watches movies once a month. Wangwang (my dog) eats lunch at 12:00am every day. walks in the afternoon every day. helps it washing every day.
    ",goes jogging once a week .
9,41734,76.0,cn,1545,4,2,26,Describing routines,"
      Tony (my son) gets up at 6:30am every day. does his homework on Monday to Friday. plays computer games in the evening on Saturday. goes swimming once a week. Paul (my husband) eats breakfast at 7:30am every day. does the laundry on Wednesday. has dinner at 7:00pm every day. goes jogging once a week. mops the floor on Saturday. watches movies once a month. Wangwang (my dog) eats lunch at 12:00am every day. walks in the afternoon every day. helps it washing every day.
    ",mops the floor on Saturday .
