,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,18642,90.0,br,64,7,1,49,Giving instructions to play a game,"
      Mark an area of about 8 meters x by 3 meters. Line up 10 plastic bottles like &quot;bowling pins&quot;. They should be filled with a little water to make them heavier. Line up the bottles in rows of 4, then 3, then 2, then 1. Each player gives a frisbee and takes two shots on each turn. Players give a total of ten turns each. Score a point for each pin that knocks down. If score a 'strike' (all the balls knock down), the player takes two more shots. Wins the player with more points.
    ",Wins the player with more points .
1,73293,98.0,br,133,2,3,11,Writing a weather guide for your city,"
      In Par, summer starts in July. Summer is sunny and very hot. From July to October we wear shorts, T-shirts, and summer dresses. Is very good to play soccer and beach volleyball and we swim in the river.
    ",Is very good to play soccer and beach volleyball and we swim in the river .
2,100461,89.0,br,223,6,2,42,Filling in an arrival card,"
      Hi aunt Jane. That''s great. I wish that you enjoy so much this trip. Don''t worry!! I''m going to explain all things for you. First, e-ticket is a document that you print in your computer when you buy the ticket. You must take your passport and show it to flight attendant together the e-ticket. She will give a pass card for you enter to the plane. When you arrive in US, the custom officer will give the arrival card for you to fill. Have a good trip. Kisses!!!
    ",Kisses !
3,170269,95.0,br,250,2,2,10,Writing a birthday invitation,"
      Hi! Im 25 on Saturday. Im having a party at my house. Lets eat cake, dance and sing. The party starts at 9 pm. o'clock.Hope you can come!  Joel
    ","Lets eat cake , dance and sing ."
4,119037,88.0,br,259,13,1,97,Writing a campaign speech,"
      Hi! My name is Alice Santos. I'm here tonight to show you why you must elect me to the student council presidency, but first of all I want to thank God I'm here, speaking to you, people. Well, let's see. I think times have change and changed into worst. I always listen to my father's stories of when he was a student and I liked them so much. Students, nowadays do not have the sense of responsability, morality, civility,respecto to olders one as they use to have. I'm going to bring back our school all of those values. I want to show you how you have to appreciate the values ??of yoursancestors and learn from them. For exemple: Why do students get to kiss each other the way they do? Is not acceptable! Come on! Don't you think so? Of course you do...You just don't have balls to admit it!! Sorry I got exalted... Well, I think I'm timeout BUT I PROMISSE I'LL BE BACK! God bless you!
    ",Is not acceptable !
5,41391,86.0,br,357,3,5,21,Giving suggestions about clothing,"
      Hi dear! Why don't you buy the purple top ? It's sexy! The orange summer skirt is expensive, but is nice... How about the red hat and the sweatshirt ? And... Don't forget the underwear... Do you can strip for me? Kisses!!!
    ",Kisses !
6,151738,80.0,br,383,2,3,11,Writing a weather guide for your city,"
      RIO DE JANEIRO, BEAUTIFUL CITY. City where every day is very sunny and very hot. From January to December we wear shorts, t-shirts, skirts and dresses. In beach very play volleyball, play soccer and beautiful peoples. At night very drinking place and dancing place. Goes to Rio de Janeiro.
    ",Goes to Rio de Janeiro .
7,151738,98.0,br,385,2,5,13,Making notes for a visitor,"
      Hi! Welcome to Rio de Janeiro. There are many things In my Town. Next to house there is a beach. It take at ten-minute from my house. Is a beautiful beach. There are a restaurants on Avenue America. Are excellences. Opposite a restaurants there are a good department stores. There are many diversion. Is a city beautiful.
    ",Is a beautiful beach .
8,151738,98.0,br,385,2,5,13,Making notes for a visitor,"
      Hi! Welcome to Rio de Janeiro. There are many things In my Town. Next to house there is a beach. It take at ten-minute from my house. Is a beautiful beach. There are a restaurants on Avenue America. Are excellences. Opposite a restaurants there are a good department stores. There are many diversion. Is a city beautiful.
    ",Is a city beautiful .
9,151738,84.0,br,391,3,3,19,Renovating your home,"
      Hi, my room is finished. It's beautiful! There are the walls white and the curtains are brown. There is a bed in the middle of room. Opposite the bed is a big TV. There is also a Wardrobe behind the bed. Is a big room.
    ",Is a big room .
10,49704,86.0,br,826,4,2,26,Describing routines,"
      Sean Plays basketball every afternoon. Plays computer games at 6pm. Watches movies on Saturdays at 5pm Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. Tatiana Feed the dog at 8am every day. Walk the dog in the afternoon. Feed the dog again at 5pm every day.
    ",Plays computer games at 6pm .
11,49704,86.0,br,826,4,2,26,Describing routines,"
      Sean Plays basketball every afternoon. Plays computer games at 6pm. Watches movies on Saturdays at 5pm Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. Tatiana Feed the dog at 8am every day. Walk the dog in the afternoon. Feed the dog again at 5pm every day.
    ",Does gardening in the morning .
12,49704,86.0,br,826,4,2,26,Describing routines,"
      Sean Plays basketball every afternoon. Plays computer games at 6pm. Watches movies on Saturdays at 5pm Granny Does laundry on Tuesday afternoon. Does gardening in the morning. Sets the table at 6pm. Tatiana Feed the dog at 8am every day. Walk the dog in the afternoon. Feed the dog again at 5pm every day.
    ",Sets the table at 6pm .
13,95798,97.0,br,913,7,3,51,Writing a job advertisement,"
      Hire - Logistics Analyst I need of a professional between 18 a 30 years of old for to work in a company of technology american. Is mandatory have an five years experience proven in Logistics.This professional will work on material planning, and will be responsible for controlling costs through spreadsheets with parts designed and distributing them throughout Brazil, and control the stock of materials.Thanks!
    ","Is mandatory have an five years experience proven in Logistics.This professional will work on material planning , and will be responsible for controlling costs through spreadsheets with parts designed and distributing them throughout Brazil , and control the stock of materials.Thanks !"
14,174083,85.0,br,1073,4,8,32,Describing people in photos,"
      Is you is seeing this woaman sitting up in the fence? Is my girlfriend. She was beautiful dressing the red pants and write top. She got long hair, but he was bounds. She look like happy with me. She is very outgoing. In the picture belong, wearing sun glass is my big friend, Eric. He is the brother of my girlfrien. I guess he few sad.Not is possible to see, but, he got blue eyes. Yours eyes are as the sister. The last picture show the couples falling love. I make picutes because i guess very romantic. Look like me that they cool.
    ",Is my girlfriend .
15,174083,90.0,br,1086,6,6,46,Writing an email of advice,"
      I have a advice for you or better, a plain: Firstly You have to looking for a help-self group. There are various people in the same addiction. Secondly, make a agreement with the credits. Offer the payment in part. Explain to him that you want to pay, but need of long-term. Finally, looking for God. Is very important a moral support and spiritual. Good luck
    ",Is very important a moral support and spiritual .
16,43646,85.0,br,1456,7,1,49,Giving instructions to play a game,"
      You can play bowling on an area of about 8 meters x by 3 meters. Use ten plastic bottles as the &quot;blowling pins&quot; and fill with a little watter to make them heavier. Line up the bottles in a row of 4, then 3, then 2, then 1,  like   ten-pin bowling, Give a frisbee to each player and allow them to take two shots on each turn. Give each player a total of ten turns. Count one point for each pin that is knocked down and a strike when all the bottles are knocked down, then allow the player to take two more shots and add all the point together. Wins the game who does more points, but be carefully  the game shall  not be played on a very windy day!
    ","Wins the game who does more points , but be carefully the game shall not be played on a very windy day !"
17,142245,95.0,br,1924,4,1,25,Writing about what you do,"
      I'm a student.  Is important because in the future i want to be a good person.
    ",Is important because in the future i want to be a good person .
18,133198,90.0,br,2224,7,1,49,Giving instructions to play a game,"
      We have to select ten plastic bottles and fill with a little water to make them heavier. Then align the bottles like bowling pins. After that each player has to take a frisbee and hit the pins. Each one will have two hits per turn and 10 turns to play. Each pin konocked down gives one point and if you have a strike can play two more times. Wins the player with the most points.
    ",Wins the player with the most points .
19,55099,85.0,br,2638,4,1,25,Writing about what you do,"
      I'm a teacher. I work in two schools. My job is very hard and very tiring. Is impossible think that teach is boring because every day have a new incident! The students have a behavior worst and worst. It's a fight but... Despite very tiring, I like my job. Teach is change the peoples!
    ",Is impossible think that teach is boring because every day have a new incident !
20,55099,98.0,br,2655,6,3,43,Creating an office dress code,"
      Good morning! In the new fashion view in the department, is very important to know some instructions about what is cool or uncool in style. For example, clothes very tight, short skirts, paints too baggy or loose are not cool. Is better that we all wear beautiful and prudent clothes and for preference more natural fabrics like cotton. Thank you for attention. Daniel
    ",Is better that we all wear beautiful and prudent clothes and for preference more natural fabrics like cotton .
21,55099,85.0,br,2661,7,1,49,Giving instructions to play a game,"
      In this area there are ten plastic bottles that are the 'bowling pins' because are lined up just like ten'pin bowling and next there is an area marked as the 'bowling alley'.Each player take a frisbee. Is allowed to take two shots on each turn. Give a total of ten turns each. Score one point for each pin that is knocked down. Is all the bottles are knocked down you score a strike end take two more shots and added all the points together. if you have most points, you are the winner! 
    ",Is allowed to take two shots on each turn .
22,55099,85.0,br,2661,7,1,49,Giving instructions to play a game,"
      In this area there are ten plastic bottles that are the 'bowling pins' because are lined up just like ten'pin bowling and next there is an area marked as the 'bowling alley'.Each player take a frisbee. Is allowed to take two shots on each turn. Give a total of ten turns each. Score one point for each pin that is knocked down. Is all the bottles are knocked down you score a strike end take two more shots and added all the points together. if you have most points, you are the winner! 
    ",Is all the bottles are knocked down you score a strike end take two more shots and added all the points together .
23,55099,84.0,br,2666,7,8,56,Posting comments on a celebrity forum,"
      I just don't know the fact in really, but my friend talk to me about this news, but we are thinking that it's just a gossip. At the same time, in some different places I am hearing about this Gavin Taylor's gossip.When we are talking about celebrities all is possible, because is very normal we look marriages without love...Since centuries ago there are interest marriages. Is very possible that Gavin and Alana will be divorced. I don't know, we need to see more news.
    ",Is very possible that Gavin and Alana will be divorced .
24,55096,75.0,br,2748,6,1,41,Writing a movie plot,"
      Finally John and Isabella found the map to leave the cavern. But they don't know that was only the first challenge to face. Out side appear the realy problem; the bear. Not a satisfied but a ungry bear. -&quot;I don't have strenght to carry on&quot;, said John. -&quot;I can't beleave&quot;, said Isabelle looking discouraged the man who could save then. THE END? SEE IN THE NEXT CHAPTER OF &quot;THE DESTINY OF JONH AND ISABELLE&quot; * Teacher: I can't found the sound! I don't know what was heppened. Because that I created the story above. Is the end of a chapter of one soap opera.
    ",Is the end of a chapter of one soap opera .
