,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,41851,89.0,ru,5996,10,5,77,Finding a home for a wealthy client,"
      1. The Cottage.This property with sunsets, which are some of the 'most stunning you can see anythere in the world' oozes with magic. It is situated in a very good place between Kefalonia and Ithaca. But it doesn't fit many client's requirements. It is not big enough (only 54.14 sq m), it contains only one bedroom (they need at least three), it is not near the sea. Also the cottage does need a new roof.2. Hamilton HouseThe property with great combination: history, beauty and seafront. Meets most ot client's needs: it is big enough, has many rooms, so it is possible to have their own rooms for each family memeber. Also it retains a hotelier licence, it is good to rent it out if decided. The price of 1.5 mln Euro is not the obstacle, because money is no object in the case the property meets needs and oozes with magic.3. New apartments.This affordable apartments is good for buyers looking to invest in tourism on a Greek Island, but doesn't meet our client's need to have a perfect family holiday home (only 2 bedrooms in each appartment).4. Villa and business.The luxurious property to invest in the capital of Ithaca. Doesn't meet different requirements of our client (seafront, views, magic ect.).
    ","Meets most ot client 's needs : it is big enough , has many rooms , so it is possible to have their own rooms for each family memeber ."
1,41851,89.0,ru,5996,10,5,77,Finding a home for a wealthy client,"
      1. The Cottage.This property with sunsets, which are some of the 'most stunning you can see anythere in the world' oozes with magic. It is situated in a very good place between Kefalonia and Ithaca. But it doesn't fit many client's requirements. It is not big enough (only 54.14 sq m), it contains only one bedroom (they need at least three), it is not near the sea. Also the cottage does need a new roof.2. Hamilton HouseThe property with great combination: history, beauty and seafront. Meets most ot client's needs: it is big enough, has many rooms, so it is possible to have their own rooms for each family memeber. Also it retains a hotelier licence, it is good to rent it out if decided. The price of 1.5 mln Euro is not the obstacle, because money is no object in the case the property meets needs and oozes with magic.3. New apartments.This affordable apartments is good for buyers looking to invest in tourism on a Greek Island, but doesn't meet our client's need to have a perfect family holiday home (only 2 bedrooms in each appartment).4. Villa and business.The luxurious property to invest in the capital of Ithaca. Doesn't meet different requirements of our client (seafront, views, magic ect.).
    ","Does n't meet different requirements of our client ( seafront , views , magic ect ."
2,37064,85.0,ru,13273,4,1,25,Writing about what you do,"
      Hi! Im a manager. My job is very hard, because usually I work long hours and take short breaks. But, its OK. I like my job, because its rewarding. I often talk on the phone, write and send emails, have meetings, but, unfortunately, I never go on business trips.
    ",Im a manager .
3,3401,89.0,ru,19385,3,6,22,Writing your online profile,"
      Name: Nataia Age: 45 Birthday: morning! Like doing: sew, knit and shopping! Lives in: Moskow, Russia Favorite Season: spring Color: red and whlte Animal: dog and cat Time: al day! Day: Saturday Number: 16
    ","Lives in : Moskow , Russia Favorite Season : spring Color : red and whlte Animal : dog and cat Time : al day !"
4,3401,93.0,ru,19399,5,4,36,Giving instructions to a house-sitter,"
      Waters the plants every morning. You can take water in the kitchen. Take the dogs for a walk twice every day. They like play games. Feeds the dogs every night. Feeds the berds every morning. Check water in the cells for birds twice a week. In the Monday, Wednesday, Friday feeds the fish in the afternoon. Take out the trash in the night on Tuesday. Clen the hous and sweep the floor twice a week.
    ",Feeds the berds every morning .
5,139171,90.0,ru,26716,5,1,33,Planning to attend a music festival,"
      Hi mom and dad. I'm going to go to a music festival on July 23th to Rome. I'm going to stay in a camping. I'm going to spend 3 days. I'm taking a tent, a top and shorts, a backpack, a sleeping bag. I'm going to listen to pop and dance music. I'll dancing. Maybe it,ll rain or hot and warm. I'm taking a raincoat, a sunglasses, a bettle of water. Tickets cost 36 pounds. See you soon. Your daughter Elena.
    ",Tickets cost 36 pounds .
6,48085,94.0,ru,29889,4,1,25,Writing about what you do,"
      I am student. I study architecture at the Institute. I always go to the lectures and always sit at the desk, but it isn't boring. It's exciting and interesting. I study history of art and architecture, building materials and constructions. I like study. Sometimes it's very difficult and I often feel tired but I'm enjoying every day of my life. In future, I hope I'll be an architect.
    ",Sometimes it 's very difficult and I often feel tired but I 'm enjoying every day of my life .
7,152029,85.0,ru,32012,5,2,34,Writing a holiday postcard,"
      Hi mom. I'm in Santa Monica my holiday. I'll stay one week. Today is very wet, going rain all aftenoon. I'm going to the museum and after I'm gonna to the Italy restoraunt on the evening. Tomorrows weather will be a very hot. Temperatupa 28 degrees Celsius. I'll go in the beach on the morning. On the evening I'm going to meet me friend on the beach bar Crab. I hope I'll hav a good time.Love, Jana.California, on July.
    ",Tomorrows weather will be a very hot .
8,144490,90.0,ru,37889,2,2,10,Writing a birthday invitation,"
      Hi! Im 31 on January. Im having a party at my house. Lets eat pizza and cake, drink wine, listen to music and dance. Hope you can come.Helena
    ","Lets eat pizza and cake , drink wine , listen to music and dance ."
9,42708,88.0,ru,44713,10,6,78,Describing a terrifying experience,"
      The most terrifying day of lifeOne day my friend was going out to work as usual round eight in the mornig. As he was approaching the corner at Elm and Fourth, he saw a young couple get out of the car.He was surpised when they suddenly began vandalizing the local newsagents. They were breaking the window with hammer, and throwing paint on the store front. My friend decided to go over to them to see if he could get them to stop. Suddenly the young woman came at him waving a gun. She pushed the gun into his stomach, and started talking very fast about consumerism and the evils of the modern world. It was astonishing! My friend was terrifyed she was going to shoot him. After what seemed like a lifetime, but probably only a few seconds really, she grabbed his laptop off and ran off down the street. A passer-by chased her and caught her the hair. Somehow she managed to escape. But not befor this guy grabbed her hair, at which point it came off in his hands! Turns out it was a wig. And the young woman wasn't a young woman at all, but a teenage boy.
    ",Turns out it was a wig .
10,126255,84.0,ru,47914,3,1,17,Replying to a new penpal,"
      Hello Bright! Thanks a lot for your letter. My name is Anna. I'm from Russia. I'm thirty-one. There are five people in my family: my husband, my mother, my sister and I. We all live in Moscow. I love my family very mach. I can speak Russian only. I can Skiing, drive and swim. I can't sing too. Best wishes,Anna
    ",Thanks a lot for your letter .
11,126255,94.0,ru,47919,3,6,22,Writing your online profile,"
      Name: Anna Age: 31 Birthday: Desember, 28 Like doing: meeting friends, surfing the Internet, cooking, watching TV and playing with my son. Lives in Moscow, Russia Favorite season: summer Animal: my pet cat Time: afternoon Day: Sunday Number: 7 P.S. I love life!
    ","Lives in Moscow , Russia Favorite season : summer Animal : my pet cat Time : afternoon Day : Sunday Number : 7 P.S ."
12,101213,97.0,ru,56241,4,1,25,Writing about what you do,"
      I'm an artist and my work's free. I never go at an office, because I work at home. Every day I sit at my desk and drawing. Sometimes it's very interesting and exciting. Sometimes it's so boring! At that moment I want a new job! Really! But I like my job! I think I help people to see their life better.
    ",Sometimes it 's very interesting and exciting .
