,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,4096,88.0,mx,2392,2,1,9,Describing your favorite day,"
      Hi, my name's Marco I loved the wensday because is my dayoff I get up at 8'0clock in the morning. I leave my children at the school and back the home for breakfast then go shopping see something on t.v. after that I study english after 2 hours go to visited to my parents. is one very busy. I go to bed at 11'0 clock.
    ",is one very busy .
1,122341,89.0,mx,2793,8,2,58,Reviewing a song for a website,"
      Introduction: Home Improvement it was a early song it has a light simple style. John Woodward is a singuer song writer from a small town, you can hear his backgraund in his song. Comes across as an older style American folk songwriter. Is a pleasant protest song about America's consumer society. The lyrics are not happy. I like this song because even though the words talk about a negative issue, the song's music is up lifting. I really enjoyed the song.
    ",Is a pleasant protest song about America 's consumer society .
2,171087,80.0,es,3763,8,1,57,Writing a natural remedies pamphlet,"
      We have the best natural remedies for pain, sore throat and the best solution for increase your immune system! If you feel tired all day or you takes cold easily, you need garlic crushed with lemon and acerola! is great for the immune system! However, your problem is that you have headache the best remedy is tea made from white willow bark and cayenne pepper. Finally, if yo take a sore throat in a cold days drink one spoonful of honey and ginger! Come to our natural remedies shop and we try to help you!
    ",is great for the immune system !
3,14585,92.0,mx,4481,2,3,11,Writing a weather guide for your city,"
      Beautiful Mexico, Mexico is very beautiful in spring, summer, autumn and winter. Depends of the place in Mexico you could enjoy the diferents seasons a round the country, for example If you go to Mexico City, In winter is cold and cloudy, but if you go in winter at Oaxaca, Mexico you could see that it's cool and sunny and you could enjoy the sea and the beachs a round Oaxaca.
    ","Depends of the place in Mexico you could enjoy the diferents seasons a round the country , for example If you go to Mexico City , In winter is cold and cloudy , but if you go in winter at Oaxaca , Mexico you could see that it 's cool and sunny and you could enjoy the sea and the beachs a round Oaxaca ."
4,67300,90.0,mx,4901,8,1,57,Writing a natural remedies pamphlet,"
      For sore throat, a spoonful of honey and ginger. This is a good remedy you have to take two spoonful every morning during 2 weeks. the first week you are going to feel better. For infections is very good the garlic is a exelent. taste is not good but the benefit is better than the others remedies. Ginger and raspberry leaf is very good to people likes to travel this is not complicate because you can chewed and you not need a tea or something. is very practice.
    ",is very practice .
5,38948,84.0,mx,4999,7,1,49,Giving instructions to play a game,"
      Mark an area of 8 meters x by 3 Fill ten plastic bottles with a little of water to be used as bowling pins Line up the bottles in rows of 4, then 3, then, 2, then 1 Give a frisbee to each player, to try to knock down the pins, one point is scored for each pin knocked down Each player have ten turns and is allowed to take two shots on each turn If knocked down all the bottles the player takes two more shots and all the points added together. Wins the player with the most points.
    ",Wins the player with the most points .
6,165256,60.0,mx,5708,4,2,26,Describing routines,"
      I haves .work every day in the afternoon ,play computer games. at 11pm in the evening every day, watchs movis once a month. does the laundry on saturday <<C, PL<Saturdays in the morning. <<Does the home work in the morning. teke My  breakfast at 2 o'clock.
    ","does the laundry on saturday < < C , PL < Saturdays in the morning ."
7,47263,88.0,mx,5881,8,4,60,Describing a business trip,"
      Hi friend!Thanks for asking how it's going my business trip .I  tell you: I've been very busy this week because since the last Saturday when I took the flight from New York to Dusseldorf I haven't gotten a time for rest well. I arived to Dusseldorf on Sunday morning and then I took the shuttle bus to the hotel, after that I checked in and the I had lunch and then I got time for taking a city tour. But after that I've been preparing the speech I  had to say at the meetings. This week was very hard working. I'm tired. See you on Thursday morning at the office. Yours sincerely.
    ",Yours sincerely .
8,89692,87.0,mx,5947,7,3,51,Writing a job advertisement,"
      John tiles Ldt. is a manufacturing company located in manchester is seeking a regional marketing manager. the main duties are : Design adverts, strongs knowledge to manage projects and work with sales to built a client base.to apply to this positions  is necesary  BA marketing  or similar and 3 years experience, we offer a excellent salary  $ 35,000 to $ 40,000 depent of experienced.
    ",is a manufacturing company located in manchester is seeking a regional marketing manager .
9,104501,89.0,mx,8160,4,2,26,Describing routines,"
      Adriana I go jogging every morning al 7:00 o'clock. I go to work al 10.30 a.m. I have lunch at 2:00 p.m. I go home after work at 8.00. Laura walks the dog in the morning. makes breakfast at 10:00 a.m. sets the table at 1:30 p. m. does the laundry everyday in the morning. does the ironing once a week. You feed the dog twice everyday. do the gardening once a month. do the shopping on Sunday morning. do the housework every day in the morning.
    ",makes breakfast at 10:00 a.m. sets the table at 1:30 p. m. does the laundry everyday in the morning .
