,learner_id,grades,nationality,writing_id,levels,unit,topic_id,topic_text,passage,query_sentence
0,58564,35.0,tr,17690,4,2,26,Describing routines,"
      Does feed the dog 7 a.m. every day. Does walk the dog in the morning. Does walk the dog again in the afternoon and in the evenings. Does feed the dog 5 p.m. every day.
    ",Does walk the dog in the morning .
1,58564,35.0,tr,17690,4,2,26,Describing routines,"
      Does feed the dog 7 a.m. every day. Does walk the dog in the morning. Does walk the dog again in the afternoon and in the evenings. Does feed the dog 5 p.m. every day.
    ",Does walk the dog again in the afternoon and in the evenings .
2,56302,98.0,tr,72325,2,2,10,Writing a birthday invitation,"
      Hi, Im 25 years old on Sunday, July 6th. Im having a party at my house. Lets eat cake, dance, sing and drink. The party starts at 7 o'clock. Hope you can come!' Suat
    ","Lets eat cake , dance , sing and drink ."
3,27725,90.0,tr,106734,4,2,26,Describing routines,"
      I play basketball every week.I play computer game everyday.I watch movies at night.I walk the dog in the evening.I feed the dog every afternoon.I set the table every week.I do laundry every month. I never do housework. Ido the ironing every year.I make the bed ever day.
    ",Ido the ironing every year.I make the bed ever day .
4,154317,95.0,tr,155757,2,3,11,Writing a weather guide for your city,"
      Istanbul is magnificent in sipring, summer, autumn and winter. In summer the weather is hot and sunny. We go to swim and play soccer, volleyball in beach. In spring it's warm and sunny. Sometimes it's cool and cloudy. In spring we usually go park and sometimes play basketball with friends. In winter it's usually cold and snowy. In autumn allways it's cool and windy. Sometimes it's rainy.
    ",Sometimes it 's cool and cloudy .
5,154317,95.0,tr,155757,2,3,11,Writing a weather guide for your city,"
      Istanbul is magnificent in sipring, summer, autumn and winter. In summer the weather is hot and sunny. We go to swim and play soccer, volleyball in beach. In spring it's warm and sunny. Sometimes it's cool and cloudy. In spring we usually go park and sometimes play basketball with friends. In winter it's usually cold and snowy. In autumn allways it's cool and windy. Sometimes it's rainy.
    ",Sometimes it 's rainy .
6,154317,95.0,tr,155771,4,1,25,Writing about what you do,"
      I'm a mining engineer and I work in a big factory. My job is excentig because it's have a big process and many big machines. Sometimes it's boring and tiring because I work long hours for fixing the problems, but I love my job.
    ","Sometimes it 's boring and tiring because I work long hours for fixing the problems , but I love my job ."
7,123003,88.0,tr,164752,2,2,10,Writing a birthday invitation,"
      Hi! It is my birthday on saturday, septenber 13. I am having apart at my house. Lets celebrate, eat cake, sing and dance. Party starts at 6 o'clock in the evenning. Hope you can come Fahri
    ","Lets celebrate , eat cake , sing and dance ."
8,88872,89.0,tr,175684,2,1,9,Describing your favorite day,"
      Hi, my name's Nazim. I'm a student. My favorite day is sunday. Igut up at 10 o'clock in the morning on Sunday, have ashower, brush my teeth. I have lunch at one o'clock, in afternoon. I play fotboll, in the evening. I go to bed at eleven o'clock.
    ","Igut up at 10 o'clock in the morning on Sunday , have ashower , brush my teeth ."
9,9140,95.0,tr,183813,2,5,13,Making notes for a visitor,"
      Welcome to my home sweety! I wrote some tips for you:There is a grocery next to the house. The bus station is on Ergenekon Street. And there is a hospital opposite the house if necessary (god forbid!). Kisses!
    ",Kisses !
